
Time,Force,TensileStrain
0,-0.0002,0.0002
1,0.0007,0.0001
2,0.0016,0
3,0.007,0.0003
3.166,0.1325,0.0014
3.224,0.2592,0.0018
3.278,0.3862,0.0025
3.326,0.5117,0.0035
3.379,0.6371,0.0043
3.43,0.7635,0.0052
3.481,0.89,0.0061
3.537,1.0168,0.007
3.588,1.1424,0.0078
3.644,1.2683,0.0085
3.7,1.3939,0.0096
3.753,1.5196,0.0104
3.812,1.646,0.0113
3.867,1.772,0.012
3.928,1.8983,0.013
3.987,2.0245,0.0139
4.048,2.1508,0.0147
4.115,2.2773,0.0155
4.18,2.4023,0.0166
4.251,2.5279,0.0172
4.319,2.653,0.0182
4.393,2.7788,0.019
4.465,2.9042,0.0198
4.537,3.0301,0.0207
4.613,3.1565,0.0216
4.686,3.2818,0.0224
4.764,3.4073,0.0232
4.84,3.5328,0.0241
4.925,3.6584,0.0248
5.007,3.7847,0.0257
5.094,3.9112,0.0266
5.184,4.0369,0.0277
5.268,4.1632,0.0286
5.36,4.2895,0.0296
5.452,4.4152,0.0306
5.541,4.5404,0.0319
5.646,4.6666,0.0329
5.754,4.792,0.0339
5.86,4.9175,0.0348
5.96,5.0431,0.0361
6.065,5.1687,0.0372
6.17,5.2949,0.0383
6.276,5.4202,0.0392
6.377,5.546,0.0404
6.483,5.6722,0.0413
6.591,5.7974,0.0426
6.693,5.9232,0.0435
6.793,6.049,0.0445
6.893,6.1749,0.0457
6.999,6.3005,0.0465
7.102,6.4267,0.0478
7.199,6.5521,0.0487
7.303,6.6784,0.0496
7.405,6.8034,0.0506
7.51,6.9293,0.0517
7.607,7.0543,0.0529
7.712,7.1806,0.0538
7.818,7.3065,0.0549
7.922,7.4316,0.0557
8.023,7.5567,0.057
8.125,7.682,0.058
8.236,7.8078,0.0591
8.339,7.9331,0.0599
8.442,8.059,0.0612
8.55,8.1844,0.0622
8.664,8.3101,0.0633
8.785,8.4357,0.0644
8.904,8.5618,0.0653
9.023,8.6877,0.0664
9.141,8.8131,0.0674
9.258,8.9381,0.0685
9.376,9.0636,0.0695
9.498,9.1895,0.0707
9.617,9.3154,0.0717
9.735,9.441,0.0727
9.851,9.5663,0.0737
9.966,9.6915,0.0749
10.08,9.8166,0.0758
10.198,9.9417,0.077
10.313,10.0669,0.0779
10.431,10.1925,0.0789
10.543,10.3183,0.08
10.66,10.4439,0.0811
10.771,10.5692,0.0822
10.888,10.6953,0.0832
11.002,10.8216,0.0842
11.118,10.9476,0.0853
11.231,11.0734,0.0866
11.343,11.1986,0.0875
11.452,11.3237,0.0885
11.565,11.4487,0.0895
11.681,11.5739,0.0906
11.793,11.6992,0.0916
11.902,11.8246,0.0927
12.008,11.9496,0.0938
12.121,12.0755,0.095
12.238,12.2012,0.096
12.352,12.3271,0.097
12.46,12.4521,0.0982
12.568,12.5779,0.0992
12.677,12.7036,0.1001
12.792,12.8293,0.1013
12.904,12.9546,0.1024
13.013,13.0802,0.1034
13.121,13.2056,0.1046
13.227,13.3307,0.1057
13.34,13.4563,0.1066
13.45,13.582,0.1075
13.56,13.7073,0.109
13.665,13.8328,0.1098
13.775,13.9588,0.1111
13.886,14.0845,0.112
13.997,14.2104,0.1133
14.101,14.3354,0.1142
14.205,14.461,0.1155
14.317,14.5873,0.1165
14.427,14.7133,0.1178
14.54,14.8394,0.1188
14.638,14.9644,0.1199
14.746,15.0904,0.121
14.855,15.2162,0.1221
14.965,15.3418,0.1233
15.073,15.4678,0.1242
15.175,15.5932,0.1257
15.285,15.719,0.1266
15.392,15.8448,0.1279
15.5,15.97,0.1291
15.599,16.0951,0.1302
15.706,16.2205,0.1313
15.815,16.3455,0.1326
15.922,16.4712,0.1337
16.027,16.5966,0.1348
16.127,16.722,0.1358
16.236,16.8477,0.1372
16.342,16.9735,0.1384
16.448,17.0989,0.1395
16.549,17.2244,0.1408
16.655,17.3505,0.142
16.76,17.4769,0.1432
16.859,17.6024,0.1443
16.956,17.7279,0.1455
17.059,17.8532,0.1467
17.168,17.9794,0.148
17.271,18.1051,0.1493
17.37,18.231,0.1505
17.477,18.3563,0.1518
17.583,18.4819,0.1528
17.682,18.6075,0.1542
17.784,18.7329,0.1554
17.891,18.8589,0.1567
17.998,18.9842,0.1581
18.101,19.1097,0.1592
18.201,19.2353,0.1606
18.307,19.3606,0.1616
18.411,19.4856,0.163
18.51,19.6112,0.1644
18.612,19.7369,0.1656
18.72,19.8621,0.1669
18.826,19.9872,0.1684
18.928,20.1126,0.1698
19.024,20.2386,0.1709
19.13,20.3645,0.1724
19.235,20.4906,0.1737
19.342,20.616,0.1751
19.44,20.7421,0.1764
19.545,20.8673,0.1777
19.651,20.9925,0.179
19.754,21.1181,0.1807
19.852,21.2442,0.182
19.956,21.3699,0.1834
20.063,21.4951,0.1847
20.164,21.6206,0.1862
20.265,21.7456,0.1877
20.373,21.8709,0.1891
20.477,21.996,0.1905
20.578,22.1211,0.192
20.676,22.2469,0.1933
20.785,22.3727,0.195
20.892,22.4978,0.1966
20.997,22.6231,0.1979
21.095,22.7482,0.1996
21.199,22.8742,0.201
21.305,22.9994,0.2026
21.406,23.1251,0.2042
21.509,23.2502,0.2055
21.616,23.3764,0.2074
21.723,23.5025,0.2089
21.827,23.6286,0.2106
