
Time,Force,TensileStrain
0,0,0.0003
1,0.0009,0.0003
2,0.0017,0.0003
3,0.0038,0.0001
3.453,0.1293,0.0008
3.593,0.2558,0.0013
3.67,0.3812,0.0017
3.745,0.5068,0.0019
3.82,0.633,0.002
3.892,0.7592,0.0023
3.968,0.8855,0.0024
4.038,1.0109,0.0027
4.112,1.1367,0.0032
4.18,1.263,0.0036
4.256,1.3887,0.0043
4.328,1.5151,0.0052
4.416,1.6414,0.0059
4.541,1.7665,0.0068
4.67,1.6396,0.0064
4.717,1.5131,0.0054
4.793,1.388,0.0046
5.665,1.5132,0.0048
6.07,1.6387,0.0056
6.262,1.764,0.0067
6.453,1.8896,0.0075
6.621,2.0153,0.0084
6.781,2.1406,0.009
6.947,2.2663,0.01
7.12,2.3916,0.0111
7.281,2.5171,0.0122
7.44,2.6423,0.0136
7.601,2.7681,0.0143
7.766,2.8934,0.0152
7.938,3.0187,0.0163
8.131,3.1441,0.0173
8.681,3.2693,0.0195
8.872,3.3945,0.0206
9.075,3.52,0.0218
9.264,3.6455,0.0227
9.455,3.7707,0.0239
9.642,3.8957,0.0249
9.821,4.0211,0.0256
10.016,4.1461,0.0267
10.198,4.2713,0.0277
10.373,4.3966,0.0287
10.553,4.5218,0.0297
10.729,4.6471,0.0306
10.897,4.7727,0.0314
11.062,4.8982,0.0324
11.234,5.0237,0.0333
11.404,5.149,0.0342
11.57,5.2745,0.0351
11.733,5.4002,0.0362
11.896,5.5255,0.037
12.059,5.6509,0.038
12.226,5.7765,0.0387
12.385,5.9017,0.0398
12.544,6.0272,0.0407
12.699,6.1522,0.0418
12.858,6.2779,0.0427
13.017,6.4035,0.0437
13.175,6.5292,0.0447
13.33,6.6548,0.0456
13.485,6.7805,0.0466
13.637,6.9062,0.0475
13.785,7.0316,0.0485
13.933,7.1567,0.0492
14.083,7.2818,0.0502
14.23,7.4069,0.0513
14.38,7.5326,0.0521
14.524,7.6577,0.0531
14.67,7.7828,0.054
14.819,7.9085,0.055
14.966,8.0338,0.056
15.116,8.1595,0.0569
15.257,8.2851,0.0577
15.399,8.4108,0.0588
15.543,8.5364,0.0595
15.685,8.6619,0.0607
15.828,8.7875,0.0615
15.966,8.9125,0.0625
16.106,9.0379,0.0634
16.246,9.1635,0.0644
16.386,9.2893,0.0653
16.525,9.4144,0.066
16.661,9.5396,0.0671
16.799,9.6651,0.068
16.933,9.7906,0.069
17.072,9.9161,0.0699
17.207,10.0411,0.0708
17.344,10.167,0.0718
17.478,10.2928,0.0728
17.611,10.4182,0.0737
17.745,10.5435,0.0746
17.879,10.669,0.0756
18.014,10.7949,0.0764
18.143,10.9206,0.0774
18.275,11.0463,0.0784
18.407,11.1714,0.0791
18.536,11.2965,0.0802
18.667,11.4217,0.0812
18.795,11.5467,0.082
18.926,11.6725,0.083
19.056,11.7982,0.0838
19.189,11.9241,0.0847
19.32,12.0502,0.0856
19.453,12.1762,0.0866
19.579,12.3023,0.0875
19.709,12.4283,0.0885
19.839,12.554,0.0895
19.97,12.6791,0.0901
20.096,12.8042,0.0912
20.226,12.9294,0.0921
20.352,13.0547,0.093
20.478,13.1804,0.0939
20.605,13.3058,0.0947
20.727,13.4313,0.0958
20.855,13.5571,0.0967
20.98,13.6824,0.0976
21.106,13.8077,0.0986
21.231,13.9335,0.0993
21.36,14.0595,0.1003
21.488,14.1855,0.1012
21.615,14.3109,0.1021
21.738,14.4364,0.103
21.864,14.5615,0.1039
21.984,14.6868,0.1049
22.11,14.8125,0.1058
22.23,14.938,0.1069
22.356,15.0639,0.1076
22.476,15.189,0.1085
22.602,15.3142,0.1095
22.725,15.4394,0.1103
22.85,15.5654,0.1113
22.972,15.6908,0.1122
23.096,15.8163,0.1133
23.213,15.9421,0.1141
23.331,16.0681,0.115
23.451,16.1938,0.1158
23.576,16.3197,0.117
23.7,16.4457,0.1178
23.823,16.5709,0.1188
23.943,16.6969,0.1198
24.061,16.822,0.1206
24.179,16.9477,0.1215
24.299,17.0732,0.1224
24.417,17.1993,0.1236
24.541,17.3249,0.1244
24.659,17.4503,0.1252
24.779,17.5756,0.1262
24.898,17.7011,0.1273
25.016,17.827,0.1282
25.13,17.9525,0.1293
25.253,18.0784,0.13
25.369,18.2035,0.131
25.489,18.3297,0.132
25.606,18.4547,0.1328
25.727,18.5806,0.1338
25.846,18.7056,0.1345
25.96,18.8308,0.1356
26.07,18.9564,0.1365
26.191,19.0825,0.1374
26.31,19.2078,0.1386
26.429,19.3329,0.1392
26.545,19.4586,0.1403
26.658,19.5838,0.1413
26.771,19.7096,0.1421
26.888,19.8348,0.1431
27.004,19.9605,0.1442
27.121,20.0863,0.145
27.239,20.2118,0.1459
27.349,20.3371,0.147
27.462,20.4622,0.1479
27.575,20.5879,0.1488
27.689,20.7134,0.1497
27.805,20.8392,0.1508
27.923,20.9646,0.1518
28.031,21.0899,0.1527
28.145,21.2152,0.1536
28.256,21.3407,0.1546
28.374,21.4658,0.1556
28.488,21.5917,0.1564
28.604,21.7168,0.1574
28.711,21.8419,0.1584
28.824,21.9673,0.1594
28.94,22.0935,0.1604
29.055,22.2185,0.1612
29.169,22.3436,0.1623
29.277,22.4687,0.163
29.389,22.5942,0.1641
29.502,22.7193,0.1652
29.618,22.8443,0.1659
29.73,22.9693,0.167
29.84,23.0951,0.1681
29.946,23.2205,0.1688
30.063,23.3458,0.1697
30.179,23.4719,0.1708
30.293,23.5976,0.1717
30.404,23.7233,0.1726
30.516,23.8485,0.1737
30.624,23.9735,0.1745
30.739,24.0987,0.1754
30.852,24.2237,0.1766
30.966,24.3488,0.1773
31.078,24.4742,0.1785
31.184,24.5997,0.1794
31.297,24.7255,0.1806
31.409,24.8508,0.1811
31.526,24.9765,0.1823
31.638,25.1015,0.1832
31.746,25.2272,0.1842
31.851,25.3531,0.1851
31.967,25.4789,0.1861
32.08,25.6043,0.1873
32.195,25.7302,0.188
32.302,25.8553,0.189
32.411,25.981,0.1902
32.524,26.1068,0.1909
32.636,26.2324,0.1921
32.749,26.3583,0.193
32.857,26.4836,0.194
32.967,26.6091,0.1952
33.081,26.735,0.1962
33.195,26.8611,0.1971
33.307,26.9868,0.1983
33.456,27.1126,0.1986
33.57,27.2384,0.1996
33.651,27.0932,0.207
33.656,26.9527,0.2105
33.66,26.8185,0.2142
33.664,26.6697,0.2184
33.668,26.5109,0.2229
33.672,26.3468,0.2277
33.676,26.1816,0.2327
33.68,26.019,0.2379
33.684,25.862,0.2428
33.688,25.7128,0.2479
33.692,25.573,0.2529
33.696,25.4435,0.2574
33.701,25.2967,0.2631
33.706,25.1664,0.2683
33.712,25.0302,0.274
33.719,24.8953,0.2802
33.727,24.7674,0.2863
33.737,24.6378,0.2932
33.75,24.5047,0.3009
33.766,24.3764,0.3093
33.786,24.2468,0.3185
33.81,24.1189,0.3281
33.841,23.9906,0.3392
33.89,23.8652,0.3541
33.972,23.7398,0.3764
34.17,23.6148,0.4236
34.355,23.4893,0.4759
34.591,23.3642,0.5386
34.77,23.2386,0.5811
34.855,23.1126,0.6065
34.946,22.9873,0.634
35.033,22.8613,0.6635
35.101,22.736,0.6909
35.191,22.6107,0.7273
35.32,22.4854,0.7763
36.32,22.3613,1.0813
37.041,22.4866,1.2936
37.643,22.6116,1.4678
38.556,22.7366,1.7203
39.485,22.8071,2.0002
63.086,21.2934,2.0033
63.109,21.2932,2.0033
63.326,21.4222,2.0078
63.348,21.5487,2.0111
63.366,21.6758,2.0145
63.384,21.8009,2.0178
63.406,21.9307,2.0214
63.436,22.0584,2.025
63.475,22.1859,2.0288
63.515,22.3133,2.0328
63.557,22.4386,2.0368
63.606,22.5659,2.0413
63.657,22.6912,2.0463
63.744,22.8168,2.0543
64.073,22.6915,2.0848
65.073,22.7175,2.1774
66.073,22.7877,2.2699
66.467,22.6624,2.3064
67.252,22.5373,2.3792
68.252,22.5728,2.4717
68.484,22.6983,2.4932
68.714,22.8234,2.5145
68.952,22.9487,2.5364
69.393,22.8234,2.5773
69.498,22.698,2.5871
69.656,22.5727,2.6017
70.153,22.4476,2.6479
70.389,22.3224,2.6696
70.538,22.197,2.6834
70.744,22.0717,2.7024
71.744,22.104,2.7951
71.992,22.2294,2.8179
72.211,22.3547,2.8384
72.419,22.4802,2.8576
72.595,22.6059,2.8739
72.84,22.7314,2.8964
73.064,22.8567,2.9173
73.266,22.9819,2.936
73.488,23.1071,2.9564
73.699,23.2326,2.976
73.949,23.3581,2.9992
74.221,23.4831,3.0242
74.508,23.6083,3.051
74.88,23.7335,3.0853
75.299,23.8587,3.1242
75.77,23.9837,3.1679
76.315,24.1088,3.2183
76.873,24.2339,3.27
77.431,24.3592,3.3217
77.999,24.4843,3.3744
78.635,24.6093,3.4329
79.295,24.7343,3.4941
79.895,24.8596,3.5498
80.57,24.985,3.6122
81.254,25.1102,3.6755
81.947,25.2352,3.7397
82.651,25.3603,3.805
83.353,25.4855,3.8701
84.144,25.6105,3.9432
84.885,25.7357,4.0119
85.68,25.8608,4.0855
86.513,25.9859,4.1625
87.319,26.111,4.2372
88.168,26.2362,4.3158
89.101,26.3612,4.4022
89.96,26.4862,4.4818
90.919,26.6115,4.5705
91.888,26.7366,4.6603
92.888,26.858,4.7529
93.888,26.9741,4.8453
94.888,27.0933,4.9381
95.888,27.2078,5.0307
96.888,27.3168,5.1232
97.888,27.4151,5.2157
98.888,27.5233,5.3083
99.888,27.6244,5.4011
100.888,27.7175,5.4936
101.888,27.8082,5.5861
102.888,27.9042,5.6788
103.888,27.9943,5.7714
104.888,28.0805,5.864
105.888,28.1616,5.9564
106.888,28.2466,6.0491
107.888,28.329,6.1419
108.888,28.3968,6.2342
109.888,28.476,6.3268
110.888,28.5517,6.4196
111.888,28.6256,6.5121
112.888,28.6907,6.6047
113.888,28.7547,6.6972
114.888,28.8267,6.7899
115.888,28.8878,6.8826
116.888,28.9434,6.9749
117.888,29.0101,7.0677
118.888,29.0701,7.1604
119.888,29.1282,7.2529
120.888,29.1778,7.3454
121.888,29.2294,7.4379
122.888,29.2863,7.5307
123.888,29.3316,7.6233
124.888,29.3768,7.7156
125.888,29.4321,7.8085
126.888,29.4782,7.901
127.888,29.5188,7.9936
128.888,29.557,8.0861
129.888,29.599,8.1786
130.888,29.6482,8.2715
131.888,29.6811,8.364
132.888,29.7193,8.4565
133.888,29.7609,8.5493
134.888,29.7952,8.6418
135.888,29.8263,8.7343
136.888,29.8564,8.8268
137.888,29.889,8.9194
138.888,29.9271,9.0123
139.888,29.9494,9.1047
140.888,29.9801,9.1972
141.888,30.0106,9.29
142.888,30.0358,9.3825
143.888,30.0558,9.4749
144.888,30.0808,9.5676
145.888,30.1101,9.6602
146.888,30.1346,9.753
147.888,30.1497,9.8454
148.888,30.1765,9.9381
149.888,30.1968,10.0307
150.888,30.2088,10.123
151.888,30.2302,10.2158
152.888,30.247,10.3083
153.888,30.2735,10.4011
154.888,30.283,10.4937
155.888,30.2954,10.5861
156.888,30.3133,10.6788
157.888,30.3287,10.7715
158.888,30.3363,10.8638
159.888,30.3498,10.9565
160.888,30.361,11.0491
161.888,30.3797,11.1419
162.888,30.3822,11.2343
163.888,30.3923,11.3268
164.888,30.4085,11.4196
165.888,30.4133,11.5122
166.888,30.4175,11.6046
167.888,30.428,11.6973
168.888,30.4342,11.7899
169.888,30.4429,11.8826
170.888,30.4424,11.975
171.888,30.4481,12.0675
172.888,30.4596,12.1603
173.888,30.4596,12.2529
174.888,30.4588,12.3453
175.888,30.462,12.438
176.888,30.4684,12.5307
177.888,30.4686,12.6232
178.888,30.4658,12.7157
179.888,30.4724,12.8083
180.888,30.4769,12.9012
181.888,30.469,12.9936
182.888,30.4659,13.0861
183.888,30.4665,13.1788
184.888,30.4673,13.2714
185.888,30.4665,13.3641
186.888,30.4576,13.4565
187.888,30.4624,13.5491
188.888,30.4578,13.6419
189.888,30.4451,13.7342
190.888,30.4404,13.8268
191.888,30.4392,13.9195
192.888,30.4345,14.0121
193.888,30.4307,14.1048
194.888,30.4196,14.1972
195.888,30.4166,14.2899
196.888,30.4062,14.3826
197.888,30.3907,14.4749
198.888,30.3854,14.5676
199.888,30.3811,14.6604
200.888,30.3733,14.753
201.888,30.3565,14.8455
202.888,30.345,14.938
203.888,30.3378,15.0307
204.888,30.3192,15.1232
205.888,30.3004,15.2156
206.888,30.2945,15.3085
207.888,30.2801,15.4011
208.888,30.2632,15.4936
209.888,30.2418,15.5862
210.888,30.2263,15.6787
211.888,30.2116,15.7715
212.888,30.184,15.8639
213.888,30.1637,15.9564
214.888,30.1451,16.0493
215.888,30.1183,16.1418
216.888,30.0926,16.2343
217.888,30.0615,16.3269
218.888,30.0309,16.4194
219.888,29.9999,16.5122
220.888,29.956,16.6046
221.888,29.9213,16.6973
222.888,29.881,16.79
223.888,29.8355,16.8826
224.888,29.78,16.975
225.888,29.7246,17.0676
226.888,29.6691,17.1602
227.888,29.6058,17.253
228.888,29.529,17.3453
229.888,29.4594,17.438
230.888,29.3803,17.5308
231.888,29.2931,17.6232
232.888,29.2017,17.7157
233.888,29.1038,17.8083
234.888,29.0075,17.9011
235.888,28.8937,17.9937
236.888,28.7771,18.0861
237.888,28.6615,18.1788
238.887,28.5364,18.2714
239.795,28.4114,18.3552
240.713,28.2862,18.4403
241.623,28.1611,18.5248
242.456,28.0361,18.6018
243.227,27.9111,18.6731
244.018,27.7859,18.7463
244.81,27.6607,18.8198
245.532,27.5355,18.8866
246.232,27.4103,18.9513
246.93,27.2852,19.016
247.603,27.1602,19.0783
248.276,27.0351,19.1407
248.937,26.9099,19.202
249.541,26.7848,19.2577
250.18,26.6598,19.317
250.759,26.5347,19.3705
251.329,26.4097,19.4233
251.892,26.2846,19.4754
252.474,26.1595,19.5294
253.012,26.0345,19.5791
253.546,25.9093,19.6285
254.079,25.7838,19.678
254.617,25.6588,19.7279
255.142,25.5336,19.7766
255.606,25.4082,19.8194
256.124,25.283,19.8676
256.589,25.1578,19.9104
257.076,25.0327,19.9556
257.526,24.9075,19.9973
257.951,24.7823,20.0362
258.413,24.6571,20.0792
258.875,24.5317,20.1222
259.3,24.4063,20.1614
259.726,24.2812,20.2009
260.137,24.156,20.2387
260.547,24.0309,20.2769
260.962,23.9055,20.3153
261.366,23.7802,20.3527
261.765,23.6551,20.3896
262.145,23.5299,20.4248
262.525,23.4048,20.46
262.901,23.2796,20.4948
263.286,23.1542,20.5306
263.636,23.0291,20.5628
264.004,22.9037,20.597
264.365,22.7783,20.6304
264.702,22.6532,20.6616
265.062,22.5279,20.695
265.383,22.4026,20.7246
265.721,22.2776,20.7559
266.057,22.1526,20.7871
266.363,22.0275,20.8153
266.717,21.9021,20.8483
267.012,21.7768,20.8756
267.314,21.6517,20.9033
267.634,21.5265,20.933
267.935,21.4015,20.961
268.24,21.2761,20.9893
268.523,21.1508,21.0155
268.813,21.0255,21.0421
269.096,20.9002,21.0685
269.373,20.7749,21.094
269.647,20.6496,21.1194
269.92,20.5244,21.1448
270.187,20.3992,21.1694
270.457,20.2736,21.1945
270.716,20.1483,21.2185
270.973,20.0231,21.2422
271.215,19.898,21.2646
271.455,19.7726,21.2867
271.701,19.6471,21.3096
271.945,19.5218,21.3323
272.156,19.3967,21.3517
272.385,19.2712,21.3729
272.513,19.134,21.3849
272.515,18.8927,21.3851
272.516,18.6807,21.3852
272.517,18.4153,21.3853
272.518,18.1014,21.3854
272.519,17.7432,21.3855
272.52,17.3459,21.3856
272.521,16.9158,21.3856
272.522,16.4585,21.3857
272.523,15.9787,21.3858
272.524,15.4797,21.3859
272.525,14.9651,21.386
272.526,14.4378,21.3862
272.527,13.9007,21.3863
272.528,13.3565,21.3864
272.529,12.8078,21.3865
272.53,12.2571,21.3867
272.531,11.7067,21.3868
272.532,11.1587,21.3869
272.533,10.6151,21.3871
272.534,10.0775,21.3873
272.535,9.5474,21.3874
272.536,9.0263,21.3876
272.537,8.5154,21.3878
272.538,8.0157,21.388
272.539,7.5281,21.3882
272.54,7.0535,21.3884
272.541,6.5924,21.3886
272.542,6.1455,21.3888
272.543,5.7133,21.3891
272.544,5.2962,21.3893
272.545,4.8945,21.3895
272.546,4.5083,21.3898
272.547,4.1378,21.39
272.548,3.7831,21.3903
272.549,3.4442,21.3906
272.55,3.1209,21.3908
272.551,2.8133,21.3911
