
Time,Force,TensileStrain
0,-0.0003,0
1,0.0006,-0.0003
2,0.0017,-0.0001
3,0.0019,-0.0001
3.301,0.1275,0.0017
3.399,0.2535,0.0033
3.497,0.3791,0.0051
3.589,0.5042,0.0069
3.68,0.6299,0.0089
3.773,0.756,0.0116
3.867,0.8812,0.0141
3.963,1.0065,0.0167
4.069,1.1326,0.0194
4.177,1.2582,0.0217
4.292,1.3841,0.0245
4.411,1.5099,0.027
4.538,1.635,0.0293
4.669,1.7604,0.0317
4.807,1.8856,0.0344
4.953,2.0113,0.037
5.111,2.1365,0.0396
5.296,2.2618,0.0425
5.477,2.3871,0.045
5.665,2.5122,0.0479
5.854,2.6372,0.0506
6.039,2.7628,0.0536
6.229,2.8879,0.0562
6.413,3.0135,0.0593
6.598,3.1392,0.0622
6.79,3.2648,0.065
6.973,3.3902,0.068
7.162,3.5156,0.0708
7.358,3.641,0.0739
7.547,3.7662,0.0769
7.748,3.8917,0.0799
7.951,4.0169,0.0828
8.186,4.142,0.0858
8.414,4.2672,0.0889
8.642,4.3924,0.0918
8.88,4.5178,0.0948
9.104,4.6431,0.0978
9.327,4.7682,0.1008
9.555,4.8935,0.1036
9.771,5.0187,0.1065
9.993,5.1438,0.1093
10.212,5.2691,0.1124
10.426,5.3944,0.1151
10.643,5.52,0.1183
10.852,5.6456,0.121
11.071,5.771,0.1241
11.272,5.896,0.1269
11.487,6.0212,0.1298
11.688,6.1466,0.1329
11.898,6.2717,0.1355
12.096,6.3972,0.1384
12.306,6.5227,0.1415
12.501,6.648,0.1447
12.706,6.7733,0.1472
12.899,6.8985,0.1502
13.103,7.0238,0.1533
13.302,7.1494,0.1562
13.496,7.2745,0.1593
13.706,7.3995,0.1622
13.9,7.5248,0.1652
14.107,7.6503,0.1682
14.299,7.7759,0.1711
14.503,7.9014,0.174
14.699,8.0264,0.177
14.894,8.1516,0.1798
15.089,8.2767,0.1829
15.28,8.4021,0.1857
15.479,8.5275,0.1889
15.668,8.6529,0.1918
15.866,8.778,0.1946
16.055,8.9036,0.1977
16.243,9.0292,0.2007
16.438,9.1547,0.2035
16.625,9.2804,0.2066
16.819,9.4056,0.2096
17.007,9.5312,0.2125
17.188,9.6568,0.2155
17.381,9.7821,0.2183
17.569,9.9072,0.2214
17.746,10.0322,0.2242
17.937,10.1578,0.2272
18.122,10.2835,0.2302
18.304,10.4086,0.2333
18.491,10.5338,0.2362
18.67,10.6593,0.2391
18.849,10.7848,0.2422
19.041,10.9104,0.2453
19.219,11.0361,0.2483
19.392,11.1612,0.251
19.58,11.2867,0.2542
19.76,11.4123,0.2572
19.933,11.5377,0.2601
20.109,11.6632,0.2629
20.294,11.7883,0.266
20.47,11.9141,0.2689
20.642,12.0392,0.2721
20.821,12.1648,0.2748
21.001,12.29,0.2781
21.176,12.4155,0.2809
21.345,12.5405,0.2839
21.518,12.6655,0.2868
21.684,12.791,0.29
21.846,12.9164,0.293
22.009,13.0422,0.2959
22.179,13.1675,0.2989
22.355,13.2931,0.302
22.522,13.4182,0.3049
22.688,13.5435,0.3078
22.852,13.6687,0.311
23.019,13.7939,0.3138
23.191,13.9193,0.317
23.357,14.0447,0.3202
23.516,14.1698,0.323
23.679,14.2953,0.326
23.853,14.4206,0.3294
24.016,14.5462,0.3321
24.179,14.6717,0.3352
24.341,14.797,0.3383
24.503,14.9225,0.3413
24.671,15.0479,0.3445
24.838,15.1735,0.3477
24.999,15.2988,0.3507
25.158,15.4245,0.3538
25.32,15.5495,0.3571
25.484,15.675,0.3601
25.647,15.8003,0.3633
25.81,15.9254,0.3665
25.971,16.0505,0.3695
26.132,16.1761,0.3728
26.294,16.3018,0.3759
26.454,16.4268,0.3793
26.618,16.5522,0.3824
26.781,16.6776,0.3856
26.941,16.8028,0.389
27.096,16.9278,0.3923
27.257,17.0533,0.3954
27.424,17.1786,0.3989
27.588,17.3044,0.4024
27.748,17.4294,0.4056
27.904,17.5546,0.4091
28.063,17.68,0.4124
28.227,17.8052,0.4162
28.392,17.9306,0.4196
28.553,18.0557,0.4232
28.715,18.1809,0.4271
28.875,18.3061,0.4308
29.038,18.4315,0.435
29.205,18.5568,0.4391
29.37,18.6823,0.4432
29.533,18.8075,0.4479
29.701,18.9332,0.4527
29.869,19.0583,0.4575
30.041,19.1837,0.4629
30.214,19.3088,0.4687
30.39,19.4345,0.475
30.568,19.5598,0.4816
30.758,19.6853,0.4894
30.943,19.8109,0.4978
31.146,19.9359,0.5078
31.353,20.0609,0.5191
31.578,20.1861,0.5338
31.827,20.3112,0.5529
32.134,20.4364,0.5815
32.562,20.5615,0.6337
33.301,20.6866,0.7518
34.301,20.7801,0.938
35.301,20.8505,1.1306
36.301,20.9165,1.3205
37.301,20.984,1.506
38.301,21.0437,1.6877
39.301,21.1048,1.8662
40.057,21.1574,2.0002
59.001,20.1176,2.0043
59.029,20.1174,2.0043
59.255,20.2452,2.0105
59.283,20.3735,2.0156
59.312,20.5014,2.0209
59.354,20.6264,2.0263
59.417,20.752,2.0323
59.483,20.8776,2.0387
59.563,21.0035,2.0459
59.654,21.1294,2.0545
59.797,21.2548,2.0677
60.797,21.3243,2.1604
61.797,21.348,2.253
62.797,21.3947,2.3457
63.797,21.4395,2.4381
64.797,21.4904,2.5306
65.797,21.5498,2.6235
66.797,21.5982,2.7161
67.797,21.6452,2.8085
68.797,21.6917,2.9011
69.797,21.7366,2.9937
70.797,21.7792,3.0864
71.797,21.8135,3.1788
72.797,21.8532,3.2713
73.797,21.8947,3.3643
74.797,21.9259,3.4568
75.797,21.9555,3.5492
76.797,21.9838,3.6418
77.797,22.0128,3.7344
78.797,22.037,3.827
79.797,22.0565,3.9196
80.797,22.0808,4.0122
81.797,22.1033,4.1051
82.797,22.1158,4.1975
83.797,22.1282,4.2899
84.797,22.141,4.3826
85.797,22.1509,4.4752
86.797,22.158,4.5678
87.797,22.16,4.6603
88.797,22.1679,4.7531
89.797,22.1679,4.8458
90.797,22.1602,4.9381
91.797,22.1533,5.0307
92.797,22.144,5.1234
93.797,22.1271,5.2159
94.797,22.1055,5.3085
95.797,22.0762,5.4011
96.797,22.0451,5.4938
97.797,21.9986,5.5865
98.797,21.9372,5.6787
99.797,21.8732,5.7714
100.797,21.7944,5.8641
101.797,21.7031,5.9567
102.797,21.5974,6.0493
103.797,21.4837,6.1418
104.797,21.3658,6.2345
105.721,21.2408,6.32
106.617,21.1157,6.403
107.456,20.9905,6.4806
108.285,20.8653,6.5574
109.086,20.7403,6.6317
109.808,20.6153,6.6984
110.546,20.4902,6.7667
111.245,20.365,6.8315
111.899,20.2399,6.8919
112.536,20.1148,6.951
113.129,19.9897,7.0058
113.63,19.8644,7.0525
114.13,19.7394,7.0986
114.6,19.6142,7.1422
115.045,19.489,7.1834
115.491,19.3638,7.2245
115.885,19.2386,7.2611
116.197,19.1134,7.2899
116.377,18.9881,7.3067
116.575,18.863,7.3251
116.75,18.7377,7.3412
116.986,18.6126,7.363
117.215,18.4869,7.3845
117.428,18.3615,7.4039
117.666,18.2363,7.4259
117.825,18.1109,7.4407
117.953,17.9854,7.4526
118.151,17.8604,7.4711
118.367,17.7353,7.4908
118.512,17.6096,7.5042
118.591,17.4824,7.5118
118.635,17.3567,7.5158
118.671,17.2298,7.5192
118.686,17.0598,7.5207
118.687,16.9324,7.5208
118.688,16.7504,7.5208
118.689,16.5195,7.5209
118.69,16.2443,7.521
118.691,15.929,7.5211
118.692,15.5783,7.5212
118.693,15.1978,7.5213
118.694,14.7923,7.5215
118.695,14.3657,7.5216
118.696,13.9214,7.5217
118.697,13.4625,7.5218
118.698,12.9917,7.5219
118.699,12.5116,7.522
118.7,12.0248,7.5221
118.701,11.5335,7.5223
118.702,11.0401,7.5224
118.703,10.5468,7.5226
118.704,10.0553,7.5227
118.705,9.5676,7.5229
118.706,9.0851,7.523
118.707,8.6094,7.5232
118.708,8.1415,7.5234
118.709,7.6825,7.5236
118.71,7.2334,7.5237
118.711,6.7949,7.5239
118.712,6.3679,7.5241
118.713,5.953,7.5243
118.714,5.5506,7.5246
118.715,5.1614,7.5248
118.716,4.7855,7.525
118.717,4.4234,7.5252
118.718,4.0752,7.5255
118.719,3.7411,7.5257
118.72,3.4211,7.526
118.721,3.1153,7.5262
118.722,2.8235,7.5265
118.723,2.5457,7.5267
118.724,2.2818,7.527
118.725,2.0315,7.5272
