regime,line,food,sex,name,wingarea,cellarea,cellnumber
Control,C1,poor,Female,Gaetana,0.875196132,15.88515606,5509522
Control,C1,poor,Female,Jacqui ,0.774110018,15.65144896,4945932
Control,C2,poor,Female,Naira ,0.897836708,17.30972984,5186890
Control,C2,poor,Female,Iva ,0.851247249,16.71318927,5093266
Control,C3,poor,Female,Nuria ,0.762895389,17.64285345,4324104
Control,C3,poor,Female,Kornelia ,0.878731495,18.53172503,4741768
Control,C4,poor,Female,Veda ,0.761228881,16.42485784,4634615
Control,C4,poor,Female,Kehinda ,0.902854818,16.7409522,5393091
Control,C5,poor,Female,Beate,0.933483137,16.71318927,5585308
Control,C5,poor,Female,Dagny ,1.012054745,18.95781018,5338458
Control,C6,poor,Female,Letitia ,0.91613715,18.06513038,5071301
Control,C6,poor,Female,Nindaanis,0.884811714,18.95781018,4667268
Control,C1,standard,Female,Sonal ,1.274815139,18.56250879,6867688
Control,C1,standard,Female,Regina ,1.259170588,20.08056452,6270594
Control,C2,standard,Female,Nadzeya,1.121183129,17.02678014,6584822
Control,C2,standard,Female,Beatrice ,1.166424074,17.58906327,6631530
Control,C3,standard,Female,Kalie ,1.033189722,20.08056452,5145222
Control,C3,standard,Female,Luminita ,0.992925089,21.34801263,4651136
Control,C4,standard,Female,Cristiana,1.134149678,20.42591375,5552504
Control,C4,standard,Female,Donka ,1.18850531,20.95486944,5671738
Control,C5,standard,Female,Amada ,1.092561551,20.35761015,5366846
Control,C5,standard,Female,Ningal ,1.096712533,20.42591375,5369221
Control,C6,standard,Female,Farohildis ,1.045933611,20.86089763,5013848
Control,C6,standard,Female,Angelina ,1.035969655,21.30514479,4862533
Selected,S1,poor,Female,Hirune,0.828881472,18.18181818,4558848
Selected,S1,poor,Female,Lilavita ,0.848406672,17.58906327,4823490
Selected,S2,poor,Female,Jade ,0.856623145,17.02678014,5031034
Selected,S2,poor,Female,Ilmataer ,0.838938811,16.4672999,5094574
Selected,S3,poor,Female,Celestina ,0.911003771,16.9828961,5364243
Selected,S3,poor,Female,Margo,0.839341714,17.01110705,4934080
Selected,S4,poor,Female,Jaslyn ,0.961039964,16.4750877,5833292
Selected,S4,poor,Female,Winifred,0.903695762,17.02678014,5307497
Selected,S5,poor,Female,Iphigenia,1.094070364,18.2120207,6007408
Selected,S5,poor,Female,Ingeborg,1.002067233,17.01110705,5890664
Selected,S6,poor,Female,Kyla ,0.83146052,16.9828961,4895870
Selected,S6,poor,Female,Meena,0.918763101,18.267716,5029436
Selected,S1,standard,Female,Ziva,1.035821783,20.4670125,5060933
Selected,S1,standard,Female,Bianka,1.024427861,22.8085143,4491427
Selected,S2,standard,Female,Maria ,1.080298958,20.42591375,5288865
Selected,S2,standard,Female,Alma,1.154256323,20.42591375,5650941
Selected,S3,standard,Female,Oshrat ,1.134560696,19.66185186,5770365
Selected,S3,standard,Female,Dolly ,1.041604358,19.36152978,5379763
Selected,S4,standard,Female,Wapanacahkos,1.017816622,21.81297966,4666105
Selected,S4,standard,Female,Chandra,1.03872943,20.13051679,5159974
Selected,S5,standard,Female,Assumpcio,0.993552434,20.20452804,4917474
Selected,S5,standard,Female,Ermelinda,1.014397274,19.62236991,5169596
Selected,S6,standard,Female,Thais,0.946442441,21.30514479,4442319
Selected,S6,standard,Female,Isabella,0.931792139,21.98036231,4239203
Control,C1,poor,Male,Philip,0.736028996,14.76317956,4985572
Control,C1,poor,Male,Prasad,0.691988769,14.96830233,4623028
