,lpep_pickup_datetime,lpep_dropoff_datetime,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,total_amount,payment_type,trip_type,congestion_surcharge,taxi_type
0,2023-01-01 00:26:10,2023-01-01 00:37:11,166,143,1.0,2.58,14.9,1.0,0.5,4.03,0.0,,24.18,1.0,1.0,2.75,green_taxi
1,2023-01-01 00:51:03,2023-01-01 00:57:49,24,43,1.0,1.81,10.7,1.0,0.5,2.64,0.0,,15.84,1.0,1.0,0.0,green_taxi
2,2023-01-01 00:35:12,2023-01-01 00:41:32,223,179,1.0,0.0,7.2,1.0,0.5,1.94,0.0,,11.64,1.0,1.0,0.0,green_taxi
3,2023-01-01 00:13:14,2023-01-01 00:19:03,41,238,1.0,1.3,6.5,0.5,1.5,1.7,0.0,,10.2,1.0,1.0,0.0,green_taxi
4,2023-01-01 00:33:04,2023-01-01 00:39:02,41,74,1.0,1.1,6.0,0.5,1.5,0.0,0.0,,8.0,1.0,1.0,0.0,green_taxi
5,2023-01-01 00:53:31,2023-01-01 01:11:04,41,262,1.0,2.78,17.7,1.0,0.5,0.0,0.0,,22.95,2.0,1.0,2.75,green_taxi
6,2023-01-01 00:09:14,2023-01-01 00:26:39,181,45,2.0,3.8,19.1,3.75,1.5,4.85,0.0,,29.2,1.0,1.0,2.75,green_taxi
7,2023-01-01 00:11:58,2023-01-01 00:24:55,24,75,1.0,1.88,14.2,1.0,0.5,0.0,0.0,,16.7,2.0,1.0,0.0,green_taxi
8,2023-01-01 00:41:29,2023-01-01 00:46:26,41,166,2.0,1.11,7.2,1.0,0.5,1.0,0.0,,10.7,1.0,1.0,0.0,green_taxi
9,2023-01-01 00:50:32,2023-01-01 01:13:42,24,140,1.0,4.22,24.7,1.0,0.5,3.0,0.0,,32.95,1.0,1.0,2.75,green_taxi
10,2023-01-01 00:16:12,2023-01-01 00:41:43,255,234,2.0,4.8,26.8,3.75,1.5,0.0,0.0,,32.05,1.0,1.0,2.75,green_taxi
11,2023-01-01 00:08:43,2023-01-01 00:17:08,75,140,1.0,1.99,11.4,1.0,0.5,3.33,0.0,,19.98,1.0,1.0,2.75,green_taxi
12,2023-01-01 00:26:32,2023-01-01 00:45:31,75,148,1.0,7.08,30.3,1.0,0.5,3.0,0.0,,38.55,1.0,1.0,2.75,green_taxi
13,2023-01-01 00:18:35,2023-01-01 00:30:09,66,255,1.0,3.23,17.7,1.0,0.5,4.04,0.0,,24.24,1.0,1.0,0.0,green_taxi
14,2023-01-01 00:39:32,2023-01-01 01:18:06,255,186,1.0,5.91,35.9,1.0,0.5,0.0,0.0,,41.15,2.0,1.0,2.75,green_taxi
15,2023-01-01 00:49:34,2023-01-01 01:08:23,195,210,1.0,11.3,32.5,0.5,1.5,0.0,0.0,,34.5,2.0,1.0,0.0,green_taxi
16,2023-01-01 00:10:45,2023-01-01 00:19:37,83,129,1.0,1.3,15.0,0.0,0.0,0.0,0.0,,15.0,1.0,2.0,0.0,green_taxi
17,2023-01-01 00:35:11,2023-01-01 01:17:35,97,68,1.0,8.28,44.3,1.0,0.5,5.0,0.0,,54.55,1.0,1.0,2.75,green_taxi
18,2023-01-01 00:31:06,2023-01-01 00:42:23,7,260,1.0,2.02,12.8,1.0,0.5,0.0,0.0,,15.3,2.0,1.0,0.0,green_taxi
19,2023-01-01 00:14:37,2023-01-01 00:21:50,41,75,1.0,0.96,8.6,1.0,0.5,0.0,0.0,,11.1,2.0,1.0,0.0,green_taxi
20,2023-01-01 00:26:21,2023-01-01 00:30:26,75,74,1.0,0.96,7.2,1.0,0.5,2.42,0.0,,12.12,1.0,1.0,0.0,green_taxi
21,2023-01-01 00:41:56,2023-01-01 00:46:06,42,42,1.0,0.53,5.8,1.0,0.5,0.0,0.0,,8.3,2.0,1.0,0.0,green_taxi
22,2023-01-01 00:32:02,2023-01-01 00:41:25,41,24,4.0,1.51,11.4,1.0,0.5,0.0,0.0,,13.9,2.0,1.0,0.0,green_taxi
23,2023-01-01 00:55:13,2023-01-01 00:59:47,42,42,3.0,0.88,7.2,1.0,0.5,0.0,0.0,,9.7,2.0,1.0,0.0,green_taxi
24,2023-01-01 00:01:31,2023-01-01 00:16:02,166,244,1.0,2.48,16.3,1.0,0.5,3.76,0.0,,22.56,1.0,1.0,0.0,green_taxi
25,2023-01-01 00:22:31,2023-01-01 00:39:24,255,146,1.0,3.53,19.8,1.0,0.5,4.46,0.0,,26.76,1.0,1.0,0.0,green_taxi
26,2023-01-01 00:57:28,2023-01-01 01:09:31,95,135,1.0,2.25,14.2,1.0,0.5,0.0,0.0,,16.7,2.0,1.0,0.0,green_taxi
27,2023-01-01 00:35:21,2023-01-01 00:53:49,260,173,1.0,2.78,19.1,1.0,0.5,4.32,0.0,,25.92,1.0,1.0,0.0,green_taxi
28,2023-01-01 00:52:52,2023-01-01 01:00:53,134,216,1.0,4.29,18.4,1.0,0.5,4.18,0.0,,25.08,1.0,1.0,0.0,green_taxi
29,2023-01-01 00:32:56,2023-01-01 00:42:53,75,142,1.0,2.53,13.5,1.0,0.5,0.0,0.0,,18.75,2.0,1.0,2.75,green_taxi
30,2023-01-01 00:24:01,2023-01-01 00:32:05,41,238,1.0,1.7,8.0,3.25,1.5,1.0,0.0,,13.75,1.0,1.0,2.75,green_taxi
31,2023-01-01 00:46:48,2023-01-01 01:08:17,95,265,1.0,10.44,47.1,1.0,0.5,9.92,0.0,,59.52,1.0,1.0,0.0,green_taxi
32,2023-01-01 00:40:58,2023-01-01 01:04:32,66,164,4.0,6.78,60.0,0.0,0.0,12.61,0.0,,75.66,1.0,2.0,2.75,green_taxi
33,2023-01-01 00:20:23,2023-01-01 00:24:32,75,74,2.0,1.39,7.9,1.0,0.5,0.0,0.0,,10.4,2.0,1.0,0.0,green_taxi
34,2023-01-01 01:49:24,2023-01-01 01:57:51,223,7,1.0,1.31,10.0,1.0,0.5,2.5,0.0,,15.0,1.0,1.0,0.0,green_taxi
35,2023-01-01 00:41:53,2023-01-01 00:41:58,83,83,1.0,6.7,3.0,1.0,1.5,0.0,0.0,,5.5,3.0,1.0,0.0,green_taxi
36,2023-01-01 00:56:26,2023-01-01 01:14:41,260,95,1.0,3.52,19.1,1.0,0.5,0.0,0.0,,21.6,2.0,1.0,0.0,green_taxi
37,2023-01-01 00:33:10,2023-01-01 00:43:08,130,130,1.0,1.74,11.4,1.0,0.5,2.78,0.0,,16.68,1.0,1.0,0.0,green_taxi
38,2023-01-01 00:58:28,2023-01-01 01:14:46,130,95,1.0,2.31,17.7,1.0,0.5,0.0,0.0,,20.2,2.0,1.0,0.0,green_taxi
39,2023-01-01 00:42:49,2023-01-01 00:51:53,7,223,1.0,1.37,10.7,1.0,0.5,0.0,0.0,,13.2,2.0,1.0,0.0,green_taxi
40,2023-01-01 00:48:21,2023-01-01 01:23:50,258,80,1.0,10.35,47.1,1.0,0.5,0.0,0.0,,49.6,2.0,1.0,0.0,green_taxi
41,2023-01-01 00:08:05,2023-01-01 00:13:26,41,75,6.0,1.05,5.5,0.5,0.5,1.36,0.0,,8.16,1.0,1.0,0.0,green_taxi
42,2023-01-01 00:13:47,2023-01-01 00:25:57,129,223,5.0,3.23,17.0,1.0,0.5,2.22,0.0,,21.72,1.0,1.0,0.0,green_taxi
43,2023-01-01 00:16:10,2023-01-01 00:54:55,66,48,3.0,6.19,75.0,0.0,0.0,0.0,0.0,,78.05,2.0,2.0,2.75,green_taxi
44,2023-01-01 00:04:25,2023-01-01 00:17:50,255,146,1.0,2.8,16.3,1.0,0.5,2.8,0.0,,21.6,1.0,1.0,0.0,green_taxi
45,2023-01-01 00:33:38,2023-01-01 00:38:51,75,263,1.0,1.13,7.9,1.0,0.5,2.63,0.0,,15.78,1.0,1.0,2.75,green_taxi
46,2023-01-01 00:46:08,2023-01-01 00:59:10,75,143,1.0,3.19,15.6,1.0,0.5,6.26,0.0,,27.11,1.0,1.0,2.75,green_taxi
47,2023-01-01 01:00:08,2023-01-01 01:05:46,95,95,1.0,1.26,8.6,1.0,0.5,2.22,0.0,,13.32,1.0,1.0,0.0,green_taxi
48,2023-01-01 00:28:04,2023-01-01 00:43:45,255,80,1.0,2.87,15.6,1.0,0.5,0.0,0.0,,18.1,2.0,1.0,0.0,green_taxi
49,2023-01-01 00:23:04,2023-01-01 23:18:32,255,48,1.0,8.55,47.8,1.0,0.5,5.3,0.0,,58.35,1.0,1.0,2.75,green_taxi
50,2023-01-01 00:34:07,2023-01-01 00:50:01,130,196,1.0,4.46,21.2,1.0,0.5,7.11,0.0,,30.81,1.0,1.0,0.0,green_taxi
51,2023-01-01 00:52:03,2023-01-01 00:57:56,7,260,1.0,1.18,7.9,1.0,0.5,2.6,0.0,,13.0,1.0,1.0,0.0,green_taxi
52,2023-01-01 00:25:31,2023-01-01 00:38:40,116,238,5.0,2.5,15.6,1.0,0.5,0.0,0.0,,18.1,2.0,1.0,0.0,green_taxi
53,2023-01-01 00:53:09,2023-01-01 01:13:35,166,250,5.0,9.01,37.3,1.0,0.5,0.0,0.0,,39.8,2.0,1.0,0.0,green_taxi
54,2023-01-01 00:42:37,2023-01-01 00:47:15,7,223,1.0,0.63,6.5,1.0,0.5,2.25,0.0,,11.25,1.0,1.0,0.0,green_taxi
55,2023-01-01 00:39:52,2023-01-01 00:48:54,129,226,1.0,2.08,15.0,0.0,0.0,0.0,0.0,,16.0,1.0,2.0,0.0,green_taxi
56,2023-01-01 00:15:32,2023-01-01 00:23:03,24,239,1.0,1.47,10.0,1.0,0.5,4.58,0.0,,19.83,1.0,1.0,2.75,green_taxi
57,2023-01-01 00:06:48,2023-01-01 01:08:47,129,226,2.0,7.83,52.0,1.0,0.5,0.0,0.0,,54.5,2.0,1.0,0.0,green_taxi
58,2023-01-01 00:57:15,2023-01-01 01:00:15,75,75,1.0,0.0,4.4,1.0,0.5,1.38,0.0,,8.28,1.0,1.0,0.0,green_taxi
59,2023-01-01 00:14:13,2023-01-01 00:25:43,129,226,2.0,2.15,13.5,1.0,0.5,0.0,0.0,,16.0,2.0,1.0,0.0,green_taxi
60,2023-01-01 00:52:48,2023-01-01 01:21:19,92,189,1.0,12.73,51.3,1.0,0.5,0.0,0.0,,53.8,2.0,1.0,0.0,green_taxi
61,2023-01-01 00:34:13,2023-01-01 00:43:57,75,41,1.0,1.62,11.4,1.0,0.5,0.0,0.0,,13.9,1.0,1.0,0.0,green_taxi
62,2023-01-01 00:44:41,2023-01-01 00:48:26,42,168,1.0,1.26,7.2,1.0,0.5,0.0,0.0,,9.7,2.0,1.0,0.0,green_taxi
63,2023-01-01 00:11:12,2023-01-01 00:38:12,65,162,2.0,7.3,25.5,3.25,1.5,7.55,0.0,,37.8,1.0,1.0,2.75,green_taxi
64,2023-01-01 01:44:43,2023-01-01 01:57:31,74,141,1.0,2.73,15.6,1.0,0.5,2.08,0.0,,22.93,1.0,1.0,2.75,green_taxi
65,2023-01-01 01:04:44,2023-01-01 01:11:23,74,41,1.0,1.1,6.5,0.5,1.5,1.5,0.0,,10.0,1.0,1.0,0.0,green_taxi
66,2023-01-01 01:48:11,2023-01-01 02:05:51,17,33,1.0,2.5,15.6,1.0,1.5,0.0,0.0,,18.1,2.0,1.0,0.0,green_taxi
67,2023-01-01 01:11:39,2023-01-01 01:41:21,152,140,2.0,4.9,26.8,3.75,1.5,6.41,0.0,,38.46,1.0,1.0,2.75,green_taxi
68,2023-01-01 01:54:25,2023-01-01 02:05:19,255,145,1.0,2.17,13.5,1.0,0.5,3.2,0.0,,19.2,1.0,1.0,0.0,green_taxi
69,2023-01-01 01:59:10,2023-01-01 02:11:36,74,151,1.0,2.02,13.5,1.0,0.5,0.0,0.0,,16.0,2.0,1.0,0.0,green_taxi
70,2023-01-01 01:22:35,2023-01-01 01:25:11,42,116,1.0,0.6,5.1,1.0,1.5,0.0,0.0,,7.6,2.0,1.0,0.0,green_taxi
71,2023-01-01 01:37:10,2023-01-01 01:41:30,41,74,1.0,0.8,6.5,1.0,1.5,0.0,0.0,,9.0,1.0,1.0,0.0,green_taxi
72,2023-01-01 01:46:22,2023-01-01 02:04:14,66,195,1.0,2.39,17.0,1.0,0.5,4.88,0.0,,24.38,1.0,1.0,0.0,green_taxi
73,2023-01-01 01:59:48,2023-01-01 02:05:29,210,210,1.0,1.1,6.0,0.5,1.5,0.0,0.0,,8.0,2.0,1.0,0.0,green_taxi
74,2023-01-01 01:09:49,2023-01-01 01:17:55,112,80,1.0,1.23,9.3,1.0,0.5,2.36,0.0,,14.16,1.0,1.0,0.0,green_taxi
75,2023-01-01 01:23:35,2023-01-01 01:53:43,255,249,1.0,4.9,29.6,1.0,0.5,8.71,0.0,,43.56,1.0,1.0,2.75,green_taxi
76,2023-01-01 01:53:20,2023-01-01 02:27:01,69,186,1.0,10.45,48.5,1.0,0.5,0.0,0.0,,53.75,1.0,1.0,2.75,green_taxi
77,2023-01-01 01:32:14,2023-01-01 01:43:55,243,235,2.0,2.23,13.5,1.0,0.5,0.0,0.0,,16.0,2.0,1.0,0.0,green_taxi
78,2023-01-01 01:01:05,2023-01-01 01:13:02,82,160,1.0,2.21,12.8,1.0,0.5,0.0,0.0,,15.3,2.0,1.0,0.0,green_taxi
79,2023-01-01 01:34:41,2023-01-01 02:00:06,260,262,1.0,5.2,28.2,1.0,0.5,6.69,0.0,,40.14,1.0,1.0,2.75,green_taxi
80,2023-01-01 01:52:08,2023-01-01 02:00:57,134,98,1.0,5.25,21.9,1.0,0.5,0.0,0.0,,24.4,1.0,1.0,0.0,green_taxi
81,2023-01-01 01:49:28,2023-01-01 02:13:18,112,238,1.0,6.32,29.6,1.0,0.5,0.0,0.0,,34.85,2.0,1.0,2.75,green_taxi
82,2023-01-01 01:03:59,2023-01-01 01:07:17,75,74,1.0,0.53,5.8,1.0,0.5,0.0,0.0,,8.3,2.0,1.0,0.0,green_taxi
83,2023-01-01 01:13:11,2023-01-01 01:26:01,74,235,1.0,3.82,18.4,1.0,0.5,4.18,0.0,,25.08,1.0,1.0,0.0,green_taxi
84,2023-01-01 01:40:06,2023-01-01 01:49:28,74,140,1.0,3.58,17.0,1.0,0.5,4.45,0.0,,26.7,1.0,1.0,2.75,green_taxi
85,2023-01-01 01:33:50,2023-01-01 01:38:15,41,166,1.0,0.7,5.0,0.5,1.5,1.75,0.0,,8.75,1.0,1.0,0.0,green_taxi
86,2023-01-01 01:45:19,2023-01-01 01:47:57,166,166,1.0,0.6,4.0,0.5,1.5,0.0,0.0,,6.0,2.0,1.0,0.0,green_taxi
87,2023-01-01 01:51:29,2023-01-01 02:05:02,97,79,1.0,2.91,17.0,1.0,0.5,4.45,0.0,,26.7,1.0,1.0,2.75,green_taxi
88,2023-01-01 01:34:07,2023-01-01 01:52:34,166,229,2.0,5.13,25.4,1.0,0.5,7.66,0.0,,38.31,1.0,1.0,2.75,green_taxi
89,2023-01-01 01:10:08,2023-01-01 01:30:01,210,216,1.0,12.4,47.1,1.0,1.5,0.0,0.0,,49.6,2.0,1.0,0.0,green_taxi
90,2023-01-01 01:32:17,2023-01-01 01:41:04,83,129,1.0,1.45,10.0,1.0,0.5,0.0,0.0,,12.5,2.0,1.0,0.0,green_taxi
91,2023-01-01 01:48:28,2023-01-01 02:16:18,129,166,1.0,7.52,36.6,1.0,0.5,2.0,6.55,,47.65,1.0,1.0,0.0,green_taxi
92,2023-01-01 01:30:43,2023-01-01 01:40:20,130,130,1.0,1.81,10.7,1.0,0.5,0.0,0.0,,13.2,2.0,1.0,0.0,green_taxi
93,2023-01-01 01:51:10,2023-01-01 02:00:28,130,135,1.0,2.45,13.5,1.0,0.5,0.0,0.0,,16.0,1.0,1.0,0.0,green_taxi
94,2023-01-01 01:09:36,2023-01-01 01:12:39,7,179,1.0,0.54,5.1,1.0,0.5,1.52,0.0,,9.12,1.0,1.0,0.0,green_taxi
95,2023-01-01 01:19:54,2023-01-01 01:23:25,7,179,1.0,0.47,5.8,1.0,0.5,2.49,0.0,,10.79,1.0,1.0,0.0,green_taxi
96,2023-01-01 01:31:10,2023-01-01 01:37:17,7,179,1.0,1.16,7.9,1.0,0.5,2.08,0.0,,12.48,1.0,1.0,0.0,green_taxi
97,2023-01-01 01:42:30,2023-01-01 02:26:39,179,226,1.0,15.39,66.0,1.0,0.5,0.0,0.0,,68.5,1.0,1.0,0.0,green_taxi
98,2023-01-01 00:57:51,2023-01-01 01:07:05,260,74,2.0,5.34,52.0,0.0,0.0,0.0,6.55,,59.55,1.0,2.0,0.0,green_taxi
99,2023-01-01 01:27:36,2023-01-01 01:27:43,168,168,0.0,0.0,20.0,0.0,0.0,0.0,0.0,,21.0,1.0,2.0,0.0,green_taxi
100,2023-01-01 01:49:30,2023-01-01 02:02:16,74,238,1.0,2.56,15.6,1.0,0.5,0.0,0.0,,20.85,1.0,1.0,2.75,green_taxi
101,2023-01-01 01:30:39,2023-01-01 02:20:23,80,145,2.0,14.97,50.0,0.0,0.0,0.0,0.0,,53.75,2.0,2.0,2.75,green_taxi
102,2023-01-01 01:27:06,2023-01-01 01:30:39,179,7,5.0,0.62,5.8,1.0,0.5,1.0,0.0,,9.3,1.0,1.0,0.0,green_taxi
103,2023-01-01 01:43:43,2023-01-01 01:51:28,7,7,5.0,0.87,8.6,1.0,0.5,2.0,0.0,,13.1,1.0,1.0,0.0,green_taxi
104,2023-01-01 01:11:01,2023-01-01 01:11:06,179,179,2.0,0.01,190.0,0.0,0.0,0.0,0.0,,191.0,2.0,2.0,0.0,green_taxi
105,2023-01-01 01:45:26,2023-01-01 01:52:36,82,260,5.0,0.86,7.9,1.0,0.5,2.08,0.0,,12.48,1.0,1.0,0.0,green_taxi
106,2023-01-01 01:40:56,2023-01-01 01:53:39,25,181,5.0,2.38,14.2,1.0,0.5,0.0,0.0,,16.7,2.0,1.0,0.0,green_taxi
107,2023-01-01 01:11:13,2023-01-01 01:11:36,7,7,1.0,0.0,3.0,1.0,0.5,9.0,0.0,,14.5,1.0,1.0,0.0,green_taxi
108,2023-01-01 01:53:59,2023-01-02 00:00:00,260,223,1.0,2.64,14.9,1.0,0.5,0.0,0.0,,17.4,1.0,1.0,0.0,green_taxi
109,2023-01-01 01:39:04,2023-01-01 02:00:43,75,95,1.0,11.34,44.3,1.0,0.5,6.65,6.55,,60.0,1.0,1.0,0.0,green_taxi
110,2023-01-01 01:40:51,2023-01-01 01:47:06,74,75,1.0,1.61,9.3,1.0,0.5,1.55,0.0,,13.35,1.0,1.0,0.0,green_taxi
111,2023-01-01 01:20:45,2023-01-01 01:27:18,145,193,1.0,2.0,10.7,1.0,0.5,2.64,0.0,,15.84,1.0,1.0,0.0,green_taxi
112,2023-01-01 01:41:01,2023-01-01 01:56:39,112,237,1.0,4.08,20.5,1.0,0.5,6.44,0.0,,32.19,1.0,1.0,2.75,green_taxi
113,2023-01-01 01:23:22,2023-01-01 01:54:19,66,41,1.0,10.96,46.4,1.0,0.5,10.33,0.0,,61.98,1.0,1.0,2.75,green_taxi
114,2023-01-01 01:22:37,2023-01-01 01:41:04,66,233,1.0,6.14,28.2,1.0,0.5,0.0,0.0,,33.45,2.0,1.0,2.75,green_taxi
115,2023-01-01 01:52:58,2023-01-01 01:53:00,264,264,1.0,0.0,3.0,1.0,0.5,21.5,0.0,,26.3,1.0,1.0,0.0,green_taxi
116,2023-01-01 01:39:41,2023-01-01 01:53:43,95,102,1.0,3.16,17.7,1.0,0.5,3.0,0.0,,23.2,1.0,1.0,0.0,green_taxi
117,2023-01-01 01:20:03,2023-01-01 01:31:13,130,10,1.0,1.67,12.1,1.0,0.5,4.38,0.0,,18.98,1.0,1.0,0.0,green_taxi
118,2023-01-01 01:25:46,2023-01-02 00:29:15,129,37,1.0,6.53,31.0,1.0,0.5,0.0,0.0,,33.5,2.0,1.0,0.0,green_taxi
119,2023-01-01 01:57:54,2023-01-01 02:15:39,80,223,1.0,6.81,29.6,1.0,0.5,6.42,0.0,,38.52,1.0,1.0,0.0,green_taxi
120,2023-01-01 01:20:33,2023-01-01 01:41:30,33,237,1.0,8.07,33.8,1.0,0.5,7.81,0.0,,46.86,1.0,1.0,2.75,green_taxi
121,2023-01-01 01:25:25,2023-01-01 01:37:29,7,260,1.0,1.71,12.8,1.0,0.5,0.0,0.0,,15.3,2.0,1.0,0.0,green_taxi
